"","sample_id","experiment","conc_level","conc","conc_unit","time_level","exposure_type","time","time_unit","acta2_log2fc","acta2_fc","acta2_pvalue","acta2_padj","col1a1_log2fc","col1a1_fc","col1a1_pvalue","col1a1_padj","Single_cell_necrosis","Necrosis","Necrosis_fibrinoid","Fibrosis"
"1","tg_rliver_repeat_1cholesterol025sodiumcholate_t5_c3","1% cholesterol + 0.25% sodium cholate",3,9999,"%",5,"repeat",4,"day",-0.394,0.76101669,0.023635666,0.271956539,0.422,1.339783602,0.064786908,0.340887687,NA,NA,NA,NA
"2","tg_rliver_repeat_1cholesterol025sodiumcholate_t6_c3","1% cholesterol + 0.25% sodium cholate",3,9999,"%",6,"repeat",8,"day",-0.069,0.953298545,0.547179528,0.884262734,0.133,1.096571589,0.471870876,0.849343496,"no","yes","no","no"
"3","tg_rliver_repeat_1cholesterol025sodiumcholate_t7_c3","1% cholesterol + 0.25% sodium cholate",3,9999,"%",7,"repeat",15,"day",0.067,1.047536127,0.469531717,0.807311814,0.351,1.275444392,0.015432004,0.285774033,"no","yes","no","no"
"4","tg_rliver_repeat_1cholesterol025sodiumcholate_t8_c3","1% cholesterol + 0.25% sodium cholate",3,9999,"%",8,"repeat",29,"day",-0.214,0.862143545,0.3315354,0.728190888,0.196,1.145517898,0.081686888,0.468405391,"no","yes","no","no"
"5","tg_rliver_repeat_24dinitrophenol_t5_c1","2 4-dinitrophenol",1,6,"mg/kg",5,"repeat",4,"day",-0.267,0.831045862,0.071090153,0.956175159,-0.084,0.943438251,0.553332006,0.984974453,NA,NA,NA,NA
"6","tg_rliver_repeat_24dinitrophenol_t5_c2","2 4-dinitrophenol",2,20,"mg/kg",5,"repeat",4,"day",-0.3,0.812252396,0.057782923,0.997279894,-0.043,0.97063447,0.841379006,0.997279894,NA,NA,NA,NA
"7","tg_rliver_repeat_24dinitrophenol_t5_c3","2 4-dinitrophenol",3,60,"mg/kg",5,"repeat",4,"day",-0.006,0.995849753,0.959759327,0.998407068,-0.518,0.698339266,0.00977089,0.909969401,NA,NA,NA,NA
"8","tg_rliver_repeat_24dinitrophenol_t6_c1","2 4-dinitrophenol",1,6,"mg/kg",6,"repeat",8,"day",0.042,1.029540083,0.813128768,0.996550257,0.169,1.124278924,0.332047351,0.996550257,NA,NA,NA,NA
"9","tg_rliver_repeat_24dinitrophenol_t6_c2","2 4-dinitrophenol",2,20,"mg/kg",6,"repeat",8,"day",-0.323,0.79940583,0.089902895,0.849883468,0.244,1.184271612,0.018744238,0.693291171,NA,NA,NA,NA
"10","tg_rliver_repeat_24dinitrophenol_t6_c3","2 4-dinitrophenol",3,60,"mg/kg",6,"repeat",8,"day",0.155,1.113421618,0.366778486,0.925968381,0.209,1.155886707,0.035727346,0.687911705,NA,NA,NA,NA
"11","tg_rliver_repeat_24dinitrophenol_t7_c1","2 4-dinitrophenol",1,6,"mg/kg",7,"repeat",15,"day",-0.18,0.882702996,0.371893128,0.981186387,-0.183,0.880869374,0.138095852,0.959051391,NA,NA,NA,NA
"12","tg_rliver_repeat_24dinitrophenol_t7_c2","2 4-dinitrophenol",2,20,"mg/kg",7,"repeat",15,"day",-0.058,0.960594864,0.583101033,0.931000864,-0.04,0.972654947,0.734897964,0.96841367,NA,NA,NA,NA
"13","tg_rliver_repeat_24dinitrophenol_t7_c3","2 4-dinitrophenol",3,60,"mg/kg",7,"repeat",15,"day",-0.14,0.907519155,0.115849646,0.620885313,0.166,1.121943481,0.398773575,0.827383283,NA,NA,NA,NA
"14","tg_rliver_repeat_24dinitrophenol_t8_c1","2 4-dinitrophenol",1,6,"mg/kg",8,"repeat",29,"day",-0.07,0.952637998,0.50287625,0.929443914,-0.21,0.864537231,0.029959656,0.750407323,NA,NA,NA,NA
"15","tg_rliver_repeat_24dinitrophenol_t8_c2","2 4-dinitrophenol",2,20,"mg/kg",8,"repeat",29,"day",0.277,1.21167266,0.228771609,0.818619312,0.06,1.042465761,0.598121328,0.943339658,NA,NA,NA,NA
"16","tg_rliver_repeat_24dinitrophenol_t8_c3","2 4-dinitrophenol",3,60,"mg/kg",8,"repeat",29,"day",0.323,1.25092908,0.08829995,0.656023409,-0.19,0.876605721,0.184166417,0.758651913,NA,NA,NA,NA
"17","tg_rliver_repeat_acarbose_t5_c1","acarbose",1,100,"mg/kg",5,"repeat",4,"day",-0.167,0.890692901,0.524394115,0.999995293,0.202,1.150291893,0.148130498,0.999995293,NA,NA,NA,NA
"18","tg_rliver_repeat_acarbose_t5_c2","acarbose",2,300,"mg/kg",5,"repeat",4,"day",-0.355,0.781869643,0.18474155,0.790217384,0.093,1.066585781,0.501055854,0.88835334,NA,NA,NA,NA
"19","tg_rliver_repeat_acarbose_t5_c3","acarbose",3,1000,"mg/kg",5,"repeat",4,"day",-0.247,0.84264683,0.351175816,0.993259742,-0.038,0.974004269,0.703542756,0.993259742,NA,NA,NA,NA
